Key	Type	Desc	Thai
Items/Plank	Text		Ván Gỗ
Items/PlankDesc	Text		Các tấm gỗ được chế tác để phục vụ công việc mộc chính xác hơn.
Items/PlanterBox	Text		Chậu Trồng Cây
Items/PlanterBoxDesc	Text		Chiếc hộp đục từ đá rộng lớn này chứa ba cây để trang trí.
Items/PlateBreastArmor	Text		Giáp Ngực Thợ Hàn
Items/PlateBreastArmorDesc	Text		Mảnh giáp ngực kim loại chịu nhiệt chứa đầy bông xỉ giảm nhiệt.
Items/PlateHelm	Text		Mũ Bảo Hộ Thợ Hàn
Items/PlateHelmDesc	Text		Mũ giáp kim loại chịu nhiệt giúp bảo vệ người đội khỏi các hạt nguy hiểm.
Items/PlatePantsArmor	Text		Quần Bảo Hộ Thợ Hàn
Items/PlatePantsArmorDesc	Text		Quần xà cạp kim loại chịu nhiệt gồm nhiều lớp sợi thủy tinh cách nhiệt.
Items/PlayerGrave	Text		Bia Mộ
Items/PlayerGraveDesc	Text		Giờ thì điều tồi tệ nhất đã qua đi, hãy sử dụng nó để trang trí!
Items/PlayerProximitySensor	Text		Cảm Biến Tiệm Cận Nhà Thám Hiểm
Items/PlayerProximitySensorDesc	Text		Một cảm biến phản hồi lại sự hiện diện của con người.
Items/PlayingDice	Text		Xúc Xắc Chơi Game
Items/PlayingDiceDesc	Text		Một viên xúc xắc chơi game có các ký hiệu độc đáo trên mỗi mặt. Có lẽ nó đã được sử dụng theo bộ và cho nhiều trò chơi khác nhau.
Items/PlumeBall	Text		Quả Cầu Lông Vũ
Items/PlumeBallDesc	Text		Một chùm lá mọc trên cây lông vũ.
Items/PlumeTree	Text		Cây Lông Vũ
Items/PlumeTreeDesc	Text		Cây này có vỏ cứng như đá và rễ sâu để lấy và giữ nước từ mặt đất sa mạc. Lá của nó mọc thành những chùm xốp mịn.
Items/PoisonAidPotion	Text		Thuốc Giải Độc
Items/PoisonAidPotionDesc	Text		Một chất lỏng màu tím, bẩn thỉu có vị kinh khủng nhưng có thể chữa khỏi mọi chất độc.
Items/PoisonGrenade	Text		Lựu Đạn Độc
Items/PoisonGrenadeDesc	Text		Một chất nổ rất khó để phục hồi lại thể trạng sau khi trúng phải.
Items/PoisonSlime	Text		Slime Độc
Items/PoisonSlimeBlob	Text		Chất Nhầy Tím
Items/PoisonSlimeBossScanner	Text		Máy Quét Ivy Khối Độc Hại
Items/PoisonSlimeBossScannerDesc	Text		Quét thế giới để tìm Ivy Khối Độc Hại. Bị tiêu hao khi quét thành công.
Items/PoisonSlimeDesc	Text		Một giọt slime độc màu tím. Có thể được xử lý thêm.
Items/PoisonSlimeDestructLarge	Text		Khối Slime Độc Lớn
Items/PoisonSlimeDestructMedium	Text		Khối Slime Độc Vừa
Items/PoisonSlimeDestructSmall	Text		Khối Slime Độc Nhỏ
Items/PoisonTrap	Text		Bẫy Gai Độc
Items/PoisonTrapDesc	Text		Một bẫy gai cơ học phản ứng với bất kỳ ai dẫm lên nó và bổ sung thêm chất độc khi gây sát thương.
Items/PoisonousShield	Text		Khiên Vệ Binh Độc Tố
Items/PoisonousShieldDesc	Text		Một chiếc khiên phủ đầy bụi bẩn độc hại. Có cơ hội làm độc kẻ thù khi chặn đứng các đòn tấn công.
Items/PoisonousSickle	Text		Lưỡi Liềm Độc
Items/PoisonousSickleDesc	Text		Công cụ làm nông đã biến thành vũ khí khi một mối đe dọa lớn phải bị tiêu diệt.
Items/PolishedCopperCrossNecklace	Text		Vòng Cổ Chữ Thập Đồng Đánh Bóng
Items/PolishedCopperCrossNecklaceDesc	Text		Mặt dây chuyền này làm sắc nét sự tập trung, cho phép tạo ra các cú đánh chính xác hơn.
Items/PolishedCoralAmulet	Text		Bùa Hộ Mệnh San Hô Đánh Bóng
Items/PolishedCoralAmuletDesc	Text		Một chiếc vòng cổ được làm bằng một huy hiệu san hô xinh đẹp và những viên sỏi trắng.
Items/PolishedGlowTulipRing	Text		Nhẫn Tulip Phát Sáng Đánh Bóng
Items/PolishedGlowTulipRingDesc	Text		Một chiếc nhẫn phát sáng giữ trọn tinh hoa của loài hoa tulip phát sáng.
Items/PolishedGoldCrystalNecklace	Text		Vòng Cổ Tinh Thể Vàng Đánh Bóng
Items/PolishedGoldCrystalNecklaceDesc	Text		Một món đồ trang sức sáng bóng kết hợp những vật liệu quý giá nhất.
Items/PolishedGoldCrystalRing	Text		Nhẫn Tinh Thể Vàng Đánh Bóng
Items/PolishedGoldCrystalRingDesc	Text		Một chiếc nhẫn quý giá đính các viên đá quý cổ xưa.
Items/PolishedGoldenSpikeRing	Text		Nhẫn Gai Vàng Đánh Bóng
Items/PolishedGoldenSpikeRingDesc	Text		Chiếc nhẫn vàng này đeo vào rất khó chịu nhưng trông thực sự rất ngầu.
Items/PolishedIronChunkNecklace	Text		Vòng Cổ Mảnh Sắt Đánh Bóng
Items/PolishedIronChunkNecklaceDesc	Text		Một món trang sức nặng nề giúp tăng phòng thủ.
Items/PolishedMagneticRing	Text		Nhẫn Từ Tính Đánh Bóng
Items/PolishedMagneticRingDesc	Text		Một chiếc nhẫn kỳ lạ giúp thu hút chiến lợi phẩm xung quanh bạn trong bán kính lớn hơn. Nam châm, hoạt động như thế nào nhỉ?
Items/PolishedOctarineNecklace	Text		Vòng Cổ Octarine Đánh Bóng
Items/PolishedOctarineNecklaceDesc	Text		Vòng cổ làm từ octarine nguyên chất chứa đầy năng lượng ma thuật.
Items/PolishedOctarineRing	Text		Nhẫn Octarine Đánh Bóng
Items/PolishedOctarineRingDesc	Text		Nhẫn làm từ octarine nguyên chất được tăng cường các đặc tính ma thuật.
Items/PolishedScarletChunkNecklace	Text		Vòng Cổ Mảnh Scarlet Đánh Bóng
Items/PolishedScarletChunkNecklaceDesc	Text		Biến thể màu scarlet của vòng cổ mảnh sắt. Nó tăng phòng thủ của bạn nhiều hơn nữa và mang lại các lợi ích bổ sung.
Items/PolishedShell	Text		Vỏ Sò Đánh Bóng
Items/PolishedShellDesc	Text		Một chiếc vỏ sò nhẵn nhụa như gương được mài giũa bởi dòng hải lưu và cát xoáy từ đáy biển.
Items/PolishedSwiftRing	Text		Nhẫn Thần Tốc Đánh Bóng
Items/PolishedSwiftRingDesc	Text		Đeo chiếc nhẫn có cánh này tạo ra một luồng gió nhẹ đẩy bạn về phía trước.
Items/Portal	Text		Cổng Dịch Chuyển
Items/PortalDesc	Text		Cho phép dịch chuyển tức thời đến các điểm mốc và cổng dịch chuyển đã được đặt ra. Cổng dịch chuyển mất 10 phút để sạc trước khi có thể sử dụng sau khi đã được đặt xuống.
Items/PotBreastArmor	Text		Giáp Thân Chum Đất
Items/PotBreastArmorDesc	Text		Chiếc chum đất sét giòn này vừa vặn với kích thước của bạn và thường chứa đầy nhu yếu phẩm của dân hang động.
Items/PotHelm	Text		Mũ Nắp Chum Đất
Items/PotHelmDesc	Text		Một chiếc nắp đất sét nặng nề đã bị nứt một phần và kiêm luôn một chiếc mũ hài hước.
Items/PotionPouch	Text		Túi Thuốc Dược Phẩm Nhỏ
Items/PotionPouchDesc	Text		Một chiếc túi nhỏ được làm dành riêng cho thuốc dược phẩm, với các ô chuyên dụng tự động sắp xếp các vật phẩm khi bạn thu thập chúng.
Items/PottedAlienFlower	Text		Chậu Hoa Ngoại Lai
Items/PottedAlienFlowerDesc	Text		Nó không phải là một bông hoa thật mà là ảnh ba chiều của nó. Phải chăng đây là bằng chứng của một thế giới đang lụi tàn nơi không còn gì có thể sinh sôi nữa?
Items/PottedCherryTree	Text		Chậu Cây Anh Đào
Items/PottedCherryTreeDesc	Text		Một nhánh cây anh đào thông thường có kích thước bonsai, được trồng trong một chiếc bình trang trí.
Items/PottedEnvelopeTree	Text		Chậu Cây Bao Lì Xì Đỏ
Items/PottedEnvelopeTreeDesc	Text		Một cái cây nhỏ trong chậu với những bao lì xì đỏ trang trí treo trên cành.
Items/PottedFlowerTree	Text		Chậu Cây Nở Hoa
Items/PottedFlowerTreeDesc	Text		Một cây bụi trồng trong chậu nở ra những bông hoa tuyệt đẹp. Nó dường như chỉ tồn tại ở dạng này.
Items/PottedGlowberryTree	Text		Chậu Cây Chuông Trăng
Items/PottedGlowberryTreeDesc	Text		Một cây bụi trồng trong chậu nở ra những bông hoa phát sáng. Nó dường như chỉ tồn tại ở dạng này.
Items/PottedGoldenOrbBush	Text		Chậu Cây Đồng Cỏ
Items/PottedGoldenOrbBushDesc	Text		Một nhánh cây đồng cỏ thông thường có kích thước bonsai, được trồng trong một chiếc chậu gỗ.
Items/PottedLandKelp	Text		Chậu Tảo Trên Cạn
Items/PottedLandKelpDesc	Text		Biến thể trang trí của loài Tảo Trên Cạn thông thường, được trồng trong một chiếc chậu gỗ trôi dạt.
Items/PottedLucentTree	Text		Chậu Sồi Phát Sáng
Items/PottedLucentTreeDesc	Text		Một bụi sồi phát sáng tráng lệ mọc ra từ một chậu tinh thể hình thành tự nhiên.
Items/PottedLushBush	Text		Chậu Cây Vực Thẳm
Items/PottedLushBushDesc	Text		Một loài cây mọc trong các khe nứt của Vùng Rừng Hoang Dã Azeos, được trồng trong chậu đất sét.
Items/PottedLushTree	Text		Chậu Cây Xum Xuê
Items/PottedLushTreeDesc	Text		Một bụi cây xum xuê thông thường, được trồng trong một chiếc chậu đá tự chế.
Items/PottedMagmaTulip	Text		Chậu Tulip Magma
Items/PottedMagmaTulipDesc	Text		Một giống hoa tulip phát sáng trang trí hiếm gặp có thể chịu được nhiệt độ cực lớn.
Items/PottedPlumeTree	Text		Chậu Cây Lông Vũ
Items/PottedPlumeTreeDesc	Text		Một nhánh cây lông vũ thông thường có kích thước bonsai, được trồng trong một chiếc chậu cổ xưa.
Items/PottedPuffSticks	Text		Chậu Cỏ Bông Mốc
Items/PottedPuffSticksDesc	Text		Một bông hoa phồng khổng lồ đã bị nhiễm nấm mốc.
Items/PouchWorkbench	Text		Bàn Chế Tạo Túi Đồ
Items/PouchWorkbenchDesc	Text		Bàn chế tạo nơi có thể sản xuất các loại túi đồ, giúp sắp xếp kho đồ ngăn nắp hơn.
Items/PreciousUrn	Text		Bình Cổ Quý Giá
Items/PreciousUrnDesc	Text		Một món đồ trang trí xinh đẹp không có bất kỳ vết nứt hay tì vết nào nhưng nội dung ban đầu của nó đã biến mất từ lâu.
Items/PressurePlate	Text		Đĩa Cảm Biến Áp Lực
Items/PressurePlateDesc	Text		Tạo ra một lượng điện nhỏ khi người chơi bước lên.
Items/PrimitiveGoKart	Text		Xe Go-kart Nguyên Thủy
Items/PrimitiveGoKartDesc	Text		Một phương tiện cổ xưa được chế tạo bởi nền văn minh đã mất, dường như chỉ để giải trí thuần túy. Nó chỉ cung cấp một phần nhỏ tốc độ mà nó từng có khả năng đạt được.
Items/ProcessorChip	Text		Chip Vi Xử Lý
Items/ProcessorChipDesc	Text		Chip vi xử lý bằng vàng tinh xảo này có vẻ rất tiên tiến về mặt kỹ thuật và hẳn đã tính toán các phép toán phức tạp.
Items/ProtocolSlate	Text		Tinh Thể Trống
Items/ProtocolSlateDesc	Text		Một tinh thể hình thoi làm từ thủy tinh có nhúng các mạch điện phức tạp. Nó dường như đã bị tắt nguồn, có lẽ có thể truyền dữ liệu để kích hoạt lại nó?
Items/ProtocolSlateKey	Text		Chìa Khóa Quản Trị
Items/ProtocolSlateKeyDesc	Text		Một chiếc chìa khóa được kích hoạt lại thuộc về một thủ lĩnh khôn ngoan. Nó có thể mở cánh cửa dẫn đến thứ gì đó rất giá trị.
Items/ProximityBomb	Text		Mìn Cảm Biến Tiệm Cận
Items/ProximityBombDesc	Text		Một chất nổ được kích hoạt khi kẻ thù bước lại gần.
Items/Puffungi	Text		Nấm Puffungi
Items/PuffungiDesc	Text		Một loại nấm mốc thích hợp cho những người sành ăn.
Items/PuffungiRare	Text		Puffungi Vàng
Items/PuffungiRareDesc	Text		Một biến thể cực kỳ hiếm gặp của puffungi thông thường.
Items/PuffungiSeed	Text		Hạt Giống Puffungi
Items/PuffungiSeedDesc	Text		Hạt giống chỉ phát triển trên nền nấm mốc đã chuẩn bị.
Items/PulseCircuit	Text		Mạch Xung
Items/PulseCircuitDesc	Text		Điện di chuyển qua theo khoảng thời gian 1 giây.
Items/PumpkinCoin	Text		Xu Bí Ngô
Items/PumpkinCoinDesc	Text		Một đồng xu trông tinh quái có thể được đổi lấy các vật phẩm ma quái khác nhau.
Items/PumpkinHeadCavelingShamanTrophy	Text		Mô hình Dân Hang Động Vua Bí Ngô
Items/PumpkinHeadCavelingShamanTrophyDesc	Text		Mô hình sống động của một Dân Hang Động Vua Bí Ngô.
Items/PumpkinHelm	Text		Đầu Bí Ngô
Items/PumpkinHelmDesc	Text		Chiếc đầu quả có khắc khuôn mặt. Dù bên trong mang lại cảm giác ghê tởm thế nào, vẻ ngoài trông thực sự khá ngầu.
Items/PumpkinLantern	Text		Đèn Lồng Bí Ngô
Items/PumpkinLanternDesc	Text		Một chiếc đèn lồng đáng sợ nhưng ấm cúng được khắc từ một loại quả. Đừng đập vỡ nó, điều đó sẽ mang lại xui xẻo đấy.
Items/PuppetRing	Text		Nhẫn Rối Kéo
Items/PuppetRingDesc	Text		Một chiếc nhẫn kỳ lạ, trang trí công phu. Bạn cảm thấy có mối liên kết chặt chẽ hơn với đệ tử của mình khi đeo nó.
Items/PurpleFireFly	Text		Đom Đóm Tím
Items/PurpleFireFlyDesc	Text		Loài côn trùng bay này luôn xuất hiện theo đàn trông như những ánh đèn nhảy múa. Ánh sáng tím của nó đặc trưng cho từng sinh cảnh.
Items/PurpleSlimeTrophy	Text		Mô hình Slime Tím
Items/PurpleSlimeTrophyDesc	Text		Mô hình sống động của một Slime Tím có độc.
Items/PuzzleDoor	Text		Cửa Hắc Diệu Thạch
Items/PuzzleDoorDesc	Text		Một cánh cửa được làm từ hắc diệu thạch cứng cáp đến kinh ngạc.
Items/PuzzleDoorKey	Text		Chìa Khóa Hắc Diệu Thạch
Items/PuzzleDoorKeyDesc	Text		Chiếc chìa khóa sắc bén được đúc bằng hắc diệu thạch. Chắc hẳn có một ổ khóa ở đâu đó vừa vặn với nó.
Items/PuzzleDoorLocked	Text		Cửa Hắc Diệu Thạch Khóa
Items/PuzzleDoorLockedDesc	Text		Một cánh cửa được làm từ hắc diệu thạch cứng cáp đến kinh ngạc. Nó có thể được mở bằng chìa khóa phù hợp.
Items/RaAkarAutomaton	Text		Người Máy Ra-Akar
Items/RaAkarAutomatonDesc	Text		Một cỗ máy lên dây cót phức tạp được tạo ra để vinh danh Ra-Akar, dường như có suy nghĩ của riêng mình. Một món quà xứng đáng cho một hoàng tử trẻ.
Items/RaAkarNecklace	Text		Vòng Cổ Của Ra-Akar
Items/RaAkarNecklaceDesc	Text		Chiếc vòng cổ của sa mạc có nét giống Titan Cát một cách ấn tượng. Đeo nó giúp bạn có thêm phòng thủ và tăng sát thương.
Items/RaAkarTrophy	Text		Mô hình Ra-Akar
Items/RaAkarTrophyDesc	Text		Mô hình sống động của Ra-Akar, Titan Cát.
Items/RadiationBreastArmor	Text		Áo Chống Phóng Xạ
Items/RadiationBreastArmorDesc	Text		Dù vấn đề là gì, đối mặt với nó sau một bộ đồ bảo hộ sẽ giúp bớt đi phần nào căng thẳng.
Items/RadiationCrystal	Text		Tinh Thể Phóng Xạ
Items/RadiationCrystalDesc	Text		Sự tích tụ của các nguyên tố phóng xạ dẫn đến một cấu trúc giống như thủy tinh.
Items/RadiationHelm	Text		Mũ Chống Phóng Xạ
Items/RadiationHelmDesc	Text		Cần xử lý các vật liệu kỳ lạ phát ra bức xạ thậm chí còn kỳ lạ hơn? Đừng lo lắng nữa!
Items/RadiationPantsArmor	Text		Quần Chống Phóng Xạ
Items/RadiationPantsArmorDesc	Text		Một bộ đồ bảo hộ sẽ không hoàn chỉnh nếu thiếu đi đôi ủng bảo vệ đôi chân.
Items/RadicalRabbitEars	Text		Tai Thỏ Ngộ Nghĩnh
Items/RadicalRabbitEarsDesc	Text		Một chiếc mũ trùm dễ thương với đôi tai thỏ trắng. Bạn cảm thấy khá tinh nghịch và nhanh nhẹn khi đội nó.
Items/RadicalRabbitEarsDiadem	Text		Băng Đô Tai Thỏ Ngộ Nghĩnh
Items/RadicalRabbitEarsDiademDesc	Text		Băng đô dễ thương với đôi tai thỏ trắng. Bạn cảm thấy khá tinh nghịch và nhanh nhẹn khi đeo nó.
Items/Rail	Text		Đường Ray
Items/RailDesc	Text		Băng qua thế giới dưới lòng đất nhanh hơn nhiều.
Items/RailwayForge	Text		Lò Rèn Đường Ray
Items/RailwayForgeDesc	Text		Lò rèn tiên tiến để tạo ra các hệ thống đường ray dưới lòng đất.
Items/RailywayForge	Text		Lò Rèn Đường Ray
Items/RainBreastArmor	Text		Áo Mưa
Items/RainBreastArmorDesc	Text		Những thứ dính nhớt sẽ trượt ngay ra khỏi chiếc áo mưa co giãn bóng loáng này. Màu vàng tươi chỉ là một điểm nhấn đẹp đẽ.
Items/RainPantsArmor	Text		Ủng Cao Su
Items/RainPantsArmorDesc	Text		Đôi ủng chống slime trơn tru giúp chân bạn khô ráo và nhanh nhẹn. Cũng rất tuyệt để nhảy vào những vũng nước.
Items/RainbowKelp	Text		Tảo Bẹ Cầu Vồng
Items/RainbowKelpDesc	Text		Một đột biến siêu hiếm của tảo bẹ thông thường, phô diễn nhiều màu sắc đa dạng.
Items/RamboBreastArmor	Text		Áo Ba Lỗ Lính Thuê
Items/RamboBreastArmorDesc	Text		Màu xanh lá cây và đẫm mồ hôi, mảnh trang phục này hoàn hảo để bước ra từ bóng tối xả súng điên cuồng.
Items/RamboHelm	Text		Băng Đô Lính Thuê
Items/RamboHelmDesc	Text		Thứ nhất bạn cần đeo vào khi muốn lao qua rừng rậm như một đội quân một người… khoan đã, đó là thứ khác rồi.
Items/RamboPantsArmor	Text		Quần Lính Thuê
Items/RamboPantsArmorDesc	Text		Quần xà cạp ngụy trang giúp bạn luôn cảnh giác cao độ xung quanh các khu vực được canh gác nghiêm ngặt.
Items/RangerBreastArmor	Text		Áo Cung Thủ
Items/RangerBreastArmorDesc	Text		Một chiếc áo nhẹ nhàng kèm bao đựng tên cho phép bắn cung nhanh nhẹn.
Items/RangerHelm	Text		Mũ Trùm Cung Thủ
Items/RangerHelmDesc	Text		Một chiếc mũ trùm tối màu bằng vải cũ. Hầu như không có gì ngoài đôi mắt hướng về mục tiêu hé lộ ra ngoài.
Items/RangerPantsArmor	Text		Quần Cung Thủ
Items/RangerPantsArmorDesc	Text		Chiếc quần da chắc chắn này củng cố tư thế đứng của bạn và mang lại cho bạn sự nhắm bắn ổn định vào mục tiêu.
Items/RazorFlake	Text		Shuriken Nảy Bật
Items/RazorFlakeDesc	Text		Một vũ khí ném bốn lưỡi nảy qua nảy lại khắp phòng. Cắt đứt bất kỳ kẻ thù nào trên đường đi của nó.
Items/RecallIdol	Text		Tượng Thu Hồi
Items/RecallIdolDesc	Text		Dịch chuyển bạn trở lại lõi, bị tiêu hao trong quá trình này.
Items/RedEnvelope	Text		Bao Lì Xì Đỏ
Items/RedEnvelopeDesc	Text		Món quà tượng trưng cho lời chúc tốt đẹp và may mắn cho năm mới phía trước. Ai đó đã để lại cho bạn để mở.
Items/RedFireFly	Text		Đom Đóm Đỏ
Items/RedFireFlyDesc	Text		Loài côn trùng bay này luôn xuất hiện theo đàn trông như những ánh đèn nhảy múa. Ánh sáng đỏ của nó đặc trưng cho từng sinh cảnh.
Items/RedKelp	Text		Tảo Bẹ Đỏ
Items/RedKelpDesc	Text		Một khối thực vật biển màu đỏ.
Items/RedSlimeTrophy	Text		Mô hình Slime Đỏ
Items/RedSlimeTrophyDesc	Text		Mô hình sống động của một Slime Đỏ hung dữ.
Items/ReluciteBar	Text		Thỏi Relucite
Items/ReluciteBarDesc	Text		Một thỏi kim loại bán sắc cho ngành rèn khéo léo.
Items/ReluciteChest	Text		Rương Relucite
Items/ReluciteChestDesc	Text		Một chiếc rương cứng cáp làm từ relucite. Nó không còn bị khóa nữa.
Items/ReluciteKey	Text		Chìa Khóa Relucite
Items/ReluciteKeyDesc	Text		Một chiếc chìa khóa bán sắc được đúc bằng relucite. Chắc hẳn có một ổ khóa ở đâu đó vừa vặn với nó.
Items/ReluciteOre	Text		Quặng Relucite
Items/ReluciteOreBoulder	Text		Khối Quặng Relucite
Items/ReluciteOreDesc	Text		Một loại quặng phát sáng của hổ phách hóa cứng pha lẫn thạch anh tím. Thường được tìm thấy trong các bức tường đá tuff.
Items/RemedaisyNecklace	Text		Vòng Cổ Hoa Giải Độc
Items/RemedaisyNecklaceDesc	Text		Đồ trang sức được làm từ một loại thực vật hiếm giúp đẩy lùi chất độc.
Items/RemoteDetonatorOffHand	Text		Bộ Kích Nổ Từ Xa
Items/RemoteDetonatorOffHandDesc	Text		Dành cho những khi bạn muốn biến mọi thứ phát nổ, nhưng từ một khoảng cách an toàn dễ chịu!
Items/RemoteExplosive	Text		Gói Thuốc Nổ Từ Xa
Items/RemoteExplosiveDesc	Text		Một gói thuốc nổ gọn gàng, vận hành từ xa và được kiểm duyệt an toàn... có lẽ thế. Đừng làm mất điều khiển từ xa.
Items/RenegadeGoKart	Text		Xe Go-kart Renegade
Items/RenegadeGoKartDesc	Text		Một phương tiện chạy địa hình cung cấp gia tốc nhanh nhưng tốc độ tối đa thấp hơn. Trông nó hơi hỏng hóc một chút nhưng giúp bạn vượt qua các khúc cua ổn định hơn.
Items/RiftLensOffhand	Text		Thấu Kính Khe Nứt
Items/RiftLensOffhandDesc	Text		Một thiết bị cầm tay kỳ lạ, được sử dụng để dịch chuyển tức thời trong phạm vi ngắn.
Items/RiftianLampfish	Text		Cá Lồng Đèn Khe Nứt
Items/RiftianLampfishDesc	Text		Một sinh vật phi thường dường như không thuộc về thế giới này. Sinh học của nó hoạt động hoàn toàn khác với bất cứ điều gì bạn biết.
Items/RingOfRock	Text		Nhẫn Đá Thường
Items/RingOfRockDesc	Text		Một chiếc nhẫn đơn giản tìm thấy ở những vùng đá sâu nhất.
Items/RingOfSand	Text		Nhẫn Cát
Items/RingOfSandDesc	Text		Một chiếc nhẫn kỳ lạ làm từ cát được liên kết với nhau bởi dòng chảy của thời gian.
Items/RingOfStone	Text		Nhẫn Đá Cuội
Items/RingOfStoneDesc	Text		Chiếc nhẫn đơn giản được đục đẽo từ đá.
Items/RitualDagger	Text		Dao Găm Nghi Lễ
Items/RitualDaggerDesc	Text		Chiếc dao găm bất thường này được làm từ một mảnh đá quý lớn. Có những vết đỏ sẫm trên tay cầm.
Items/RitualGoblet	Text		Chén Nghi Lễ
Items/RitualGobletDesc	Text		Một chiếc cúp cổ xưa làm từ đá và đá quý. Bên trong nó được phủ một lớp cặn màu đỏ sẫm.
Items/RobotArm	Text		Cánh Tay Robot
Items/RobotArmDebris	Text		Mảnh Vụn Cơ Khí
Items/RobotArmDebrisDesc	Text		Những mẩu thỏi, tấm và các bộ phận công nghiệp rải rác.
Items/RobotArmDebrisSmall	Text		Mảnh Vụn Cơ Khí Nhỏ
Items/RobotArmDebrisSmallDesc	Text		Những mẩu đai ốc, bu lông và các mảnh công nghiệp rải rác.
Items/RobotArmDesc	Text		Một cánh tay trợ giúp cơ học, gắp các đồ vật và đặt chúng ở nơi khác khi được cấp điện. Có thể kích hoạt bộ lọc để chỉ xử lý các vật phẩm khớp.
Items/RobotBossActivatorConsole	Text		Bảng Điều Khiển S.A.H.A.B.A.R.
Items/RobotBossActivatorConsoleDesc	Text		Trên màn hình phản chiếu của nó, có cảm giác như không chỉ có hình bóng của bạn đang nhìn lại.
Items/RobotBossChest	Text		Rương S.A.H.A.B.A.R.
Items/RobotBossChestDesc	Text		Một chiếc rương cơ học lớn gồm các tấm dát vàng. Phần đế được gia cố của nó cho phép nó nằm chắc chắn trong dung nham nóng chảy.
Items/RobotBossScanner	Text		Máy Quét S.A.H.A.B.A.R.
Items/RobotBossScannerDesc	Text		Quét thế giới để tìm S.A.H.A.B.A.R. Bị tiêu hao khi quét thành công.
Items/RobotBossSummoningItem	Text		Bộ Ghi Đè Uế Tạp
Items/RobotBossSummoningItemDesc	Text		Một chiếc thẻ khóa có các ký hiệu được khắc phức tạp giữa các mạch điện của nó. Có lẽ nó lưu trữ một thứ gì đó vượt ra ngoài dữ liệu thuần túy?
Items/RobotBossTrophy	Text		Mô hình S.A.H.A.B.A.R.
Items/RobotBossTrophyDesc	Text		Mô hình sống động của S.A.H.A.B.A.R.
Items/RobotFarmArm	Text		Cánh Tay Nông Trại Robot
Items/RobotFarmArmDesc	Text		Cánh tay nông trại cơ học gieo hạt giống và thu hoạch nông sản khi được cấp điện. Không làm rơi hạt giống, không giống như thu hoạch thủ công.
Items/RobotMiner	Text		Máy Khai Thác Geobot
Items/RobotMinerTrophy	Text		Mô hình Máy Khai Thác Geobot
Items/RobotMinerTrophyDesc	Text		Mô hình sống động của một Máy Khai Thác Geobot.
Items/RobotPatroller	Text		Tuần Tra Viên Geobot
Items/RobotPatrollerTrophy	Text		Mô hình Tuần Tra Viên Geobot
Items/RobotPatrollerTrophyDesc	Text		Mô hình sống động của một Tuần Tra Viên Geobot.
Items/RobotSwarmer	Text		Kẻ Quét Dọn Geobot
Items/RobotSwarmerTrophy	Text		Mô hình Kẻ Quét Dọn Geobot
Items/RobotSwarmerTrophyDesc	Text		Mô hình sống động của một Kẻ Quét Dọn Geobot.
Items/RockJaw	Text		Cá Mập Hàm Đá
Items/RockJawDesc	Text		Một loài cá mập nhỏ có thể nghiền nát hầu hết mọi vật liệu bằng một cú đớp.
Items/RolyPoly	Text		Bọ Strolly Poly
Items/RolyPolyBaby	Text		Ấu Trùng Strolly Poly
Items/RolyPolyBabyDesc	Text		Phiên bản non của Strolly Poly. Không giống như cha mẹ đã lớn của chúng, con non này liên tục đối mặt với nguy cơ bị dẫm phải hoặc bị nhầm với ấu trùng bởi những nhà thám hiểm bất cẩn.
Items/RolyPolyDesc	Text		Hài lòng với mọi thứ diễn ra xung quanh, gã khổng lồ hiền lành này lạch bạch đi qua bóng tối, luôn tìm kiếm một món ăn nhẹ giòn tan, đang chạy nhanh. Bạn có biết nó thậm chí còn không phải là một loài côn trùng?
Items/RolyPolyPlate	Text		Mảnh Giáp Strolly Poly
Items/RolyPolyPlateDesc	Text		Một tấm giáp rụng ra tạo nên bộ giáp cứng của Strolly Poly. Rất chắc chắn và tuyệt vời cho việc chế tác.
Items/RoofingTool	Text		Dụng Cụ Làm Mái
Items/RoofingToolDesc	Text		Chiếc găng tay kỳ lạ này có thể tạo ra hoặc loại bỏ ánh sáng mái che trên ô bạn đang đối mặt; tuy nhiên, nó không thể giúp bạn trốn thoát. Bao phủ diện tích lên tới 3x3 ô.
Items/RootSeed	Text		Hạt Giống Rễ Cây
Items/RootSeedDesc	Text		Khi đã được trồng, nó sẽ lan rộng rễ theo mọi hướng.
Items/RoseWater	Text		Nước Hoa Hồng
Items/RoseWaterDesc	Text		Một lọ chứa nước và chiết xuất hoa hồng, được cho là giúp làn da mịn màng như lụa và mái tóc bóng mượt.
Items/RotFish	Text		Cá Thối Rữa
Items/RotFishDesc	Text		Một nửa cơ thể của nó đã biến mất nhưng không hiểu sao nó vẫn còn sống. Thật đáng sợ.
Items/RoyalGel	Text		Chất Nhầy Hoàng Gia
Items/RoyalGelDesc	Text		Một khối slime với chiếc vương miện nhỏ ở trung tâm. Với chiếc mũ phù hợp, bạn có thể thống trị tất cả các loài slime.
Items/RoyalSlimeBlob	Text		Slime Hoàng Gia
Items/Rug	Text		Thảm
Items/RugDesc	Text		Che phủ mặt đất lạnh giá và làm cho căn cứ của bạn trở nên ấm cúng.
Items/RuinsCavelingPillar	Text		Cột Dân Hang Động
Items/RuinsCavelingPillarDesc	Text		Một cột đá rộng lớn, mô tả một dân hang động trừu tượng.
