Key	English
Items/SeaWoodenDestructible	Driftwood Wooden Crate
Items/SeaWoodenDestructibleDesc	This box has been created from driftwood and is bleached by light from above.
Items/SealedBeverage	Sealed Beverage
Items/SealedBeverageDesc	An unknown liquid slushes inside when shaken. Is there an ancient corkscrew around?
Items/SeasonalMerchant	Seasonal Merchant
Items/SeedAndCropsPouch	Small Seed and Crop Pouch
Items/SeedAndCropsPouchDesc	A small pouch made exclusively for seeds and crops, with dedicated slots that auto-sort items as you gather them.
Items/SeedExtractor	Seed Extractor
Items/SeedExtractorDesc	Extracts and reclaims seeds from plants when powered by electricity.
Items/SeekerBomb	Mouse Bomb
Items/SeekerBombDesc	A forward moving explosive that explodes on impact.
Items/SeismicClock	Seismic Clock
Items/SeismicClockDesc	This broken device looks like it was able to predict earthquakes.
Items/SentryNutcracker	Sentry Nutcracker
Items/SentryNutcrackerDesc	A little nutcracker shaped after a core sentry in festive garment. Sadly there are no nuts around to be cracked.
Items/SeptumRing	Septum Ring
Items/SeptumRingDesc	A golden piece of jewelry that's not put onto the finger but rather on the nose.
Items/ShadowBreastArmor	Shadow Chestplate
Items/ShadowBreastArmorDesc	A chestpiece that makes your heart feel hollow.
Items/ShadowCharmNecklace	Black Charm Necklace
Items/ShadowCharmNecklaceDesc	A perfectly black trinket that absorbs any light cast upon it.
Items/ShadowHelm	Shadow Helmet
Items/ShadowHelmDesc	A headgear that makes your mind feel void of emotion.
Items/ShadowPantsArmor	Shadow Leggings
Items/ShadowPantsArmorDesc	A pair of leggings that makes your lower body feel weightless.
Items/ShamanBossCrystalShard	Crystal Skull Shard
Items/ShamanBossCrystalShardDesc	An ancient crystal shard that is only the fraction of something bigger.
Items/ShamanBossScanner	Malugaz the Corrupted Scanner
Items/ShamanBossScannerDesc	Scans the world for Malugaz the Corrupted. Consumed on successful scan.
Items/ShamanBossSummoningItem	Malugaz Summoning Idol
Items/ShamanBossSummoningItemDesc	A reforged crystal skull that whispers ancient chants. It urges you to place it on the throne room sigil.
Items/ShamanHelm	Shaman Skull
Items/ShamanHelmDesc	A skull covered in ritualistic markings. Its burning eye sockets ignite a fiery fury in you.
Items/ShardClub	Crystal Shard Club
Items/ShardClubDesc	This bludgeoning weapon is made from fragile crystal, that can send out splinters when swung.
Items/SharkTooth	Shark Tooth
Items/SharkToothDesc	It's as big as the palm of a hand, meeting with a row of those will end up fatal.
Items/Shredder	Shredder
Items/ShredderDesc	When powered by electricity, automatically scraps tools, equipment and other things you don't need.
Items/ShroomanBruteTrophy	Shrooman Brute Figurine
Items/ShroomanBruteTrophyDesc	A lifelike representation of a Shrooman Brute.
Items/SignArrow	Arrow Sign
Items/SignArrowDesc	Don't know where to go? Just look at it!
Items/SignBrute	Brute Sign
Items/SignBruteDesc	"Someone put all their artistic efforts into painting this sign and left it as a warning.
Caveling Brutes or worse ahead."
Items/SignRedWarning	Red Warning Sign
Items/SignRedWarningDesc	A plaque on a pole with a heed of extreme caution judging by the vibrant red color.
Items/SignSkull	Skull Effigy
Items/SignSkullDesc	There is no clearer warning than a skull on a stake. Better keep out.
Items/SignText	Sign
Items/SignTextDesc	The best way to leave messages for everyone to see.
Items/SignTextMetropolis	Metropolis Sign
Items/SignTextMetropolisDesc	A modern message sign that can be programmed to display information.
Items/SignYellowWarning	Yellow Warning Sign
Items/SignYellowWarningDesc	A plaque on a pole with a heed of caution judging by its shape.
Items/SilverTorrentDart	Silver Dart
Items/SilverTorrentDartDesc	This elusive fish appears in swarms as a spectacle of blinking silver to confuse predators.
Items/SingingCrystal	Singing Crystal
Items/SingingCrystalDesc	Due to its shape, this naturally formed crystal rings with a harmonic frequency when struck.
Items/SirenLamp	Siren Lamp
Items/SirenLampDesc	A durable lamp designed for simple alert systems underground.
Items/SkeletonPedestal	Deceased Explorer
Items/SkeletonPedestal2	Decorative Skeleton
Items/SkeletonPedestal2Desc	"A spooky scary skeleton made from cheap plastic. Perfect to ""liven"" up any room."
Items/SkeletonPedestalDesc	The remains of a fellow explorer who wasn't as lucky as you. Funnily enough he can still fit hats onto his pale skull, that's at least something.
Items/SkirmisherHelm	Skirmisher Cap
Items/SkirmisherHelmDesc	A headpiece worn by caveling skirmishers which has been cobbled together with larvaskin, leaves and dirty cloth.
Items/SkullNecklace	Skull Necklace
Items/SkullNecklaceDesc	A morbid necklace made from tiny caveling skulls. They're too small to have been children.
Items/SkullRing	Skull Ring
Items/SkullRingDesc	A grotesque blood-red ring, crested with a tiny caveling skull.
Items/SkyRing	Sky Ring
Items/SkyRingDesc	This ring reminds you of the wide open sky.
Items/SleepyBreastArmor	Pajama Shirt
Items/SleepyBreastArmorDesc	A blue cozy nightshirt.
Items/SleepyHelm	Pajama Cap
Items/SleepyHelmDesc	A blue soft nightcap.
Items/SleepyPantsArmor	Pajama Pants
Items/SleepyPantsArmorDesc	A pair of blue comfortable nightpants.
Items/Slime	Slime
Items/SlimeBlob	Orange Slime
Items/SlimeBossCrystal	Glurch Eye
Items/SlimeBossCrystalDesc	A bulbous gemstone that fused many slimes together into a giant one.
Items/SlimeBossSummoningItem	Giant Slime Summoning Idol
Items/SlimeBossSummoningItemDesc	Crystal idol to reawaken a Giant Slime. Consumed upon placing it on any Giant Slime summoning rune.
Items/SlimeBreastArmor	Slime Armor
Items/SlimeBreastArmorDesc	A gelatinous upper body armor that looks like someone dumped a bucket of goo onto you.
Items/SlimeDesc	An orange blob of slime. Can be further processed.
Items/SlimeDestructLarge	Large Slime Vessel
Items/SlimeDestructMedium	Medium Slime Vessel
Items/SlimeDestructSmall	Small Slime Vessel
Items/SlimeHelm	Slime Helm
Items/SlimeHelmDesc	A gooey, constantly dripping helm that covers half of your face.
Items/SlimeMerchant	Bearded Merchant
Items/SlimeOil	Slime Oil Idol
Items/SlimeOilDesc	A jar filled with slime essence, used for beard care. Place it in a habitable room and a bearded character may move in.
Items/SlimeStaff	Sticky Stick
Items/SlimeStaffDesc	This staff is drenched in slime that never seems to end no matter how much is flung away.
Items/SlimeSword	Slime Sword
Items/SlimeSwordDesc	A strange weapon, good for damaging enemies and slowing them down.
Items/SlimeTrophy	Slime Figurine
Items/SlimeTrophyDesc	A lifelike representation of a common Orange Slime.
Items/Slingshot	Slingshot
Items/SlingshotDesc	Simple ranged weapon to fire away at enemies.
Items/SlipperySlime	Slippery Slime
Items/SlipperySlimeBlob	Blue Slime
Items/SlipperySlimeBossScanner	Morpha the Aquatic Mass Scanner
Items/SlipperySlimeBossScannerDesc	Scans the world for Morpha the Aquatic Mass. Consumed on successful scan.
Items/SlipperySlimeDesc	A blue slime blob almost too slick to hold onto. Can be further processed.
Items/SlipperySlimeSword	Slippery Slime Sword
Items/SlipperySlimeSwordDesc	A blue variant of the slime sword. It sometimes spreads slime onto your enemies that makes them slide around.
Items/SmallBarnacleGrass	Barnacle Grass
Items/SmallBarnacleGrassDesc	A small group of long-necked barnacles stretching out from the ground.
Items/SmallBomb	Crude Bomb
Items/SmallBombDesc	A small explosive to blast walls and enemies.
Items/SmallBombPlural	Crude Bombs
Items/SmallCavelingSkull	Small Caveling Skull
Items/SmallCavelingSkullDesc	A caveling skull, smaller than usual. It hints at a tragic story.
Items/SmallCrystalGrass	Crystal Grass
Items/SmallCrystalGrassDesc	A strange growth that consists of broad, transparent leaves.
Items/SmallFeatherTree	Small Purple Feather Tree
Items/SmallFeatherTreeCyan	Small Cyan Feather Tree
Items/SmallFeatherTreeCyanDesc	Not a tree at all, but an invertebrate feeding on floating particles with its arms. It hasn't fully matured yet.
Items/SmallFeatherTreeDesc	Not a tree at all, but an invertebrate feeding on floating particles with its arms. It hasn't fully matured yet.
Items/SmallIndustrialTable	Industrial Table
Items/SmallIndustrialTableDesc	A table with brass rims and a board made from a sleek alloy.
Items/SmallLantern	Small Lantern
Items/SmallLanternDesc	A weak light to attach to your belt.
Items/SmallPandoriumCrystal	Small Pandorium Crystal
Items/SmallPandoriumCrystalDesc	This small crystal formation pops and sputters with chaotic energy.
Items/SmallTempleRug	Temple Decor Rug
Items/SmallTempleRugDesc	A small, ancient rug caked with the dust of thousands of years. The design on it shows a trinity of eyes.
Items/SmallTentacle	Tentacle
Items/SmelterKiln	Smelter Kiln
Items/SmelterKilnDesc	A kiln that can melt valuable ores.
Items/SmithingBellow	Old Smithing Bellow
Items/SmithingBellowDesc	An old device used to circulate air into a forge to create extreme temperatures. The lever for its mechanism is rusted in place.
Items/SmithingGlove	Smithing Glove
Items/SmithingGloveDesc	Reinforced with several rare materials, this glove can withstand great heat and is a must have for every experienced blacksmith.
Items/SnakeBossScanner	Atlantean Worm Scanner
Items/SnakeBossScannerDesc	Scans the world for the Atlantean Worm. Consumed on successful scan.
Items/SnarePlant	Snare Plant
Items/SnarePlantTrophy	Snare Plant Figurine
Items/SnarePlantTrophyDesc	A lifelike representation of a Snare Plant.
Items/SnowGlobe	Snow Globe
Items/SnowGlobeDesc	This little globe has the core as its center and starts a snowfall when shaken.
Items/Snowball	Snowball
Items/SnowballDesc	A handy projectile to start some fights with the neighbours' children. Can also be collected and further processed.
Items/SnowballPyramid	Snowball Pyramid
Items/SnowballPyramidDesc	A traditional festive contruct built with snowballs and a light source in the middle.
Items/SnowmanHelm	Snowman Hat
Items/SnowmanHelmDesc	Whatever one is feeling at the moment, this hat covers it all up with a happy expression made from coal and carrots.
Items/SoaringBreastArmor	Soaring Poncho
Items/SoaringBreastArmorDesc	Comfy and lightweight, this poncho flows well as you run.
Items/SoaringHelm	Soaring Headgear
Items/SoaringHelmDesc	A stylish hat and scarf, fit for one another.
Items/SoaringPantsArmor	Soaring Pants
Items/SoaringPantsArmorDesc	Comes equipped with winged boots that should aid your mobility.
Items/SoftSponge	Soft Sponge
Items/SoftSpongeDesc	A soft, squishy sponge. Time to take a bath!
Items/SolariteAnvil	Solarite Anvil
Items/SolariteAnvilDesc	A superior anvil for creating magnificent equipment.
Items/SolariteBar	Solarite Bar
Items/SolariteBarDesc	A magnificent ingot for masterful blacksmithing.
Items/SolariteChest	Solarite Chest
Items/SolariteChestDesc	A shimmering chest made from solarite. It is not locked anymore.
Items/SolariteCrossbow	Solarite Crossbow
Items/SolariteCrossbowDesc	A grand glimmering crossbow that shoots mighty bolts.
Items/SolariteFishingRod	Solarite Fishing Rod
Items/SolariteFishingRodDesc	A superior tool for pulling up elusive fish.
Items/SolariteKey	Solarite Key
Items/SolariteKeyDesc	A shimmering key cast in solarite. There should be a lock somewhere that it fits into.
Items/SolariteMiningPick	Solarite Pickaxe
Items/SolariteMiningPickDesc	A superior tool for breaking down perplexingly hard walls.
Items/SolariteOre	Solarite Ore
Items/SolariteOreBoulder	Solarite Ore Boulder
Items/SolariteOreDesc	An ore that fused with Ancient Gemstones. It can sometimes be found in crystalline walls.
Items/SolariteSword	Solarite Sword
Items/SolariteSwordDesc	A superior weapon for obliterating foes.
Items/SolariteWorkbench	Solarite Workbench
Items/SolariteWorkbenchDesc	A superior workbench to be prepared for dire trials.
Items/SolidSpikeback	Solid Spikeback
Items/SolidSpikebackDesc	A very defensive fish with rock-hard skin and sharp spikes protruding out.
Items/SorcererBreastArmor	Sorcerer Robe
Items/SorcererBreastArmorDesc	A robust robe, using magic fused into the fabric to withstand attacks.
Items/SorcererHelm	Sorcerer Hood
Items/SorcererHelmDesc	A hood worn by Initiated mages.
Items/SorcererPantsArmor	Sorcerer Pants
Items/SorcererPantsArmorDesc	Sturdy pants with plenty of pockets for magical trinkets.
Items/SoulLantern	Soul Lantern
Items/SoulLanternDesc	A vessel with a hot, oil-like substance within.
Items/SoulNecklace	Soul Medallion
Items/SoulNecklaceDesc	A depressing stone amulet. You hear whispering...
Items/SparkleOpal	Sparkle Opal
Items/SparkleOpalDesc	A magnificent gemstone that glitters in pastel rainbow colors.
Items/Speaker	Signal Speaker
Items/SpeakerDesc	Emits a sharp alert when triggered, warning anyone nearby that something is about to happen.
Items/SpearRack	Spear Rack
Items/SpearRackDesc	A crudely-made rack that is used by cavelings to have their spears at the ready.
Items/SpeederBoat	Speeder
Items/SpeederBoatDesc	Allows traveling over water much faster.
Items/SpeederGoKart	Speeder Go-kart
Items/SpeederGoKartDesc	A racing kart with a nice red finish, able to outrace other vehicles after a longer acceleration time. Tends to drift a lot when driving too fast.
Items/SpikeTrap	Spike Trap
Items/SpikeTrapDesc	A mechanical spike trap that only reacts to enemies.
Items/SpineRing	Spine Ring
Items/SpineRingDesc	A ring found at the skeleton of a giant ocean creature. It's made from tiny cervical vertebrae.
Items/SpiritVeil	Spirit Veil
Items/SpiritVeilDesc	A ghastly fish that floats in the air like it's still underwater.
Items/SpookyPopCandy	Spooky Pop Candy
Items/SpookyPopCandyDesc	It looks almost too scary to remove its wrapper. What tasty horrors might await behind?
Items/Sprinkler	Sprinkler
Items/SprinklerDesc	A useful gadget that waters tilled ground in a small radius.
Items/Stalagmite	Stalagmite
Items/StalagmiteDesc	A stone pillar grown over thousands of years through dripping water.
Items/StarlightNautilus	Starlight Nautilus
Items/StarlightNautilusDesc	A mysterious living fossil that seems to have fused with precious metals and gemstones to ascend to a higher state of being.
Items/StarlightShards	Starlight Shards
Items/StarlightShardsDesc	A collection of sparkling colorful crystals. If they grew natural or not remains a mystery.
Items/StoneBridge	Stone Bridge
Items/StoneBridgeDesc	Used to cross chasms and water but also makes for a nice floor.
Items/StoneCap	Stone Cap
Items/StoneCapDesc	Rock-hard mushrooms attached to a stone slate. They look edible but are actually fossilized.
Items/StoneCavelingMoss	Stone Moss
Items/StoneCavelingMossDesc	Ground plants found in the Forgotten Ruins. They grow tiny berries that attract cavelings of the corresponding area.
Items/StoneDoor	Stone Door
Items/StoneDoorDesc	A sturdier door to block out unwanted creatures.
Items/StoneFence	Stone Fence
Items/StoneFenceDesc	A more reinforced fence to protect what's rightfully yours.
Items/StoneFenceGate	Stone Fence Gate
Items/StoneFenceGateDesc	A simple gate for the stone fence.
Items/StoneFloor	Stone Floor
Items/StoneFloorDesc	Simple rock tiles for decorating your base.
Items/StoneLantern	Stone Lantern
Items/StoneLanternDesc	An unknown light source sits inside this solid stone cage. The air around it feels cold.
Items/StoneMortar	Stone Mortar
Items/StoneMortarDesc	A handheld cannon hurling rocks into the air. They won't know what hit 'em!
Items/StonePedestal	Stone Pedestal
Items/StonePedestalDesc	Showcase your findings!
Items/StoneSeeder	Garden Trowel
Items/StoneSeederDesc	A useful tool that makes planting seeds a breeze. Covers an area of up to 2x2 tiles.
Items/StoneStalagmite	Stone Stalagmite
Items/StoneStalagmiteDesc	A stone pillar slowly raised over thousands of years through tectonic pressure.
Items/StoneskinPotion	Stoneskin Potion
Items/StoneskinPotionDesc	A salty elixir that hardens your skin and makes you more resilient.
Items/StunGrenade	Stun Grenade
Items/StunGrenadeDesc	Creates a blast that overwhelms the senses.
Items/SuitBreastArmor	Suit Jacket
Items/SuitBreastArmorDesc	The elegant jacket has a stuck-on rose and is perfect for a romantic dinner. Remember to show up on time.
Items/SuitHelm	Top Hat
Items/SuitHelmDesc	This hat is worn by everyone who considers themself an admirable adventurer equipped with a captivating charisma.
Items/SuitPantsArmor	Suit Pants
Items/SuitPantsArmorDesc	These pants are made from black, silky fabric and hint at sophistication and confidence.
Items/SulfurBomb	Sulfur Bomb
Items/SulfurBombDesc	A large bomb harnessing the power of pressurized toxic gas.
Items/SulfurBreastArmor	Sulfossil Cuirass
Items/SulfurBreastArmorDesc	This volatile mass latches its plating onto your body. It feels ready to retaliate.
Items/SulfurBud	Sulfur Bud
Items/SulfurBudDesc	A sapling grows inside this fragile bulb of toxic gas. The lightest touch can make it burst!
Items/SulfurHelm	Sulfossil Helmet
Items/SulfurHelmDesc	Like a crown, when worn, you assert yourself dominant over the forces within this sulfuric mass.
Items/SulfurPantsArmor	Sulfossil Boots
Items/SulfurPantsArmorDesc	The gel padding adds a bounce to your step. Surprisingly quiet for the force contained within.
Items/SulfurTree	Sulfur Tree
Items/SulfurTreeDesc	This gnarled tree feasts on the organic matter of the passage. It sprouts glowing sacs of toxic gas.
Items/SulfurWormTrophy	Sulfur Worm Figurine
Items/SulfurWormTrophyDesc	A lifelike representation of a Sulfur Worm.
Items/SummonerOffhand	Scratched Stone
Items/SummonerOffhandDesc	The claw marks in this rock reveal dormant energies inside, waiting to be awoken.
Items/SunStaff	Sun Caller
Items/SunStaffDesc	Used by great mages to conjure small stars.
Items/SunglassesHelm	Sunglasses
Items/SunglassesHelmDesc	Nothing is more important than sporting cool sunglasses, even when it's dark.
Items/Sunrice	Sunrice
Items/SunriceDesc	A vibrant crop that braces you for tough encounters.
Items/SunriceRare	Golden Sunrice
Items/SunriceRareDesc	A very rare variant of the common sunrice.
Items/SunriceSeed	Sunrice Seed
Items/SunriceSeedDesc	Grows into a bracing crop when planted. Only grows in prepared crystal ground.
Items/SurfaceCoral1Large	Large Bicolor Coral
Items/SurfaceCoral1LargeDesc	A large group of two coral species that grow together to form a symbiosis.
Items/SurfaceCoral1Medium	Bicolor Coral
Items/SurfaceCoral1MediumDesc	A group of two coral species that grow together to form a symbiosis.
Items/SurfaceCoral1Small	Small Bicolor Coral
Items/SurfaceCoral1SmallDesc	A small group of two coral species that grow together to form a symbiosis.
Items/SurfaceCoral2Large	Large Crimson Coral
Items/SurfaceCoral2LargeDesc	A large branchy coral that provides protection and food for small sea critters.
Items/SurfaceCoral2Small	Crimson Coral
Items/SurfaceCoral2SmallDesc	A small branchy coral that provides protection and food for small sea critters.
Items/SurfaceCoral3Large	Large Dish Coral
Items/SurfaceCoral3LargeDesc	A large coral that develops a wide brim above the water surface, providing a safe island for small organisms.
Items/SurfaceCoral3Small	Dish Coral
Items/SurfaceCoral3SmallDesc	A small coral that develops a wide brim above the water surface, providing a safe island for small organisms.
Items/SuspendedButterfly	Suspended Butterfly
Items/SuspendedButterflyDesc	A fragile butterfly that has been completely corrupted by crystals.
Items/SwampMageBreastArmor	Lily Pad Tunic
Items/SwampMageBreastArmorDesc	A light shirt with a lily pad strapped over. A little flower is keeping it tied in place.
Items/SwampMageHelm	Lily Pad Hat
Items/SwampMageHelmDesc	This lily pad appears unusually sturdy. It fits on your head nicely.
Items/SwampMagePantsArmor	Lily Pad Shorts
Items/SwampMagePantsArmorDesc	A light pair of shorts with a lily pad strapped around the hip.
Items/SwiftFeather	Swift Feather
Items/SwiftFeatherDesc	A mysterious feather that allows you to dash out of danger.
Items/SwiftRing	Swift Ring
Items/SwiftRingDesc	Wearing this winged ring creates a slight wind that pushes you forward.
Items/SwimingPantsArmorBlue	Blue Board Shorts
Items/SwimingPantsArmorBlueDesc	Wearing those chill blue shorts tempts you to constantly form the shaka sign with your hand.
Items/SwimingPantsArmorGreen	Green Board Shorts
Items/SwimingPantsArmorGreenDesc	Wearing those chill green shorts tempts you to constantly form the shaka sign with your hand.
Items/SwimingPantsArmorRed	Red Board Shorts
Items/SwimingPantsArmorRedDesc	Wearing those chill red shorts tempts you to constantly form the shaka sign with your hand.
Items/TCircuit	T Circuit
Items/TCircuitDesc	A circuit that takes directs electricity from 1 direction into 2 other directions.
Items/TableSaw	Table Saw
Items/TableSawDesc	A simple saw to cut materials into slates. Requires electricity.
Items/TallBarnacleGrass	Tall Barnacle Grass
Items/TallBarnacleGrassDesc	A large group of long-necked barnacles stretching out from the ground.
Items/TallCrystalGrass	Tall Crystal Grass
Items/TallCrystalGrassDesc	A tall, strange growth that consists of broad, transparent leaves.
Items/TallGrass	Tall Grass
Items/TallGrassDesc	A large patch of tall grass to use as a decorative.
Items/TallLandKelp	Tall Land Algae
Items/TallLandKelpDesc	A large type of algae that can grow outside of water.
Items/TamerBreastArmor	Wildwarden Pauldrons
Items/TamerBreastArmorDesc	This wooden chest-piece is wrapped in a bundle of mysteriously unwithering leaves.
Items/TamerHelm	Wildwarden Mask
Items/TamerHelmDesc	A wooden mask with decorative leaves and horns attuned to the wildlife.
Items/TamerNecklace	Wildwarden Necklace
Items/TamerNecklaceDesc	An animalistic emblem decorated with golden trinkets that ring out to the wild.
Items/TamerPantsArmor	Wildwarden Pants
Items/TamerPantsArmorDesc	Leafy legwear made from ancient wooden roots that seem to connect with the earth whenever one stands still.
Items/TamerRing	Wildwarden Ring
Items/TamerRingDesc	A wooden ring with two smaller rings around it. One symbolizes the warden and the other the bonded beast.
Items/Tapestry	Tapestry
Items/TapestryDesc	A sheet of fabric that can be hung on walls.
Items/TealPalaceFish	Teal Palace Fish
Items/TealPalaceFishDesc	A greenish-blue, odd-looking fish with weirdly shaped fins.
Items/TempleAzeosUrn	Azeos Urn
Items/TempleAzeosUrnDesc	This decorative vase has been made in honor of Azeos, the Sky Titan.
Items/TempleGlyphBlock	Glyph Stele
Items/TempleGlyphBlockBroken	Broken Glyph Stele
Items/TempleGlyphBlockBrokenDesc	A block made from hazy blue glass with golden etchings. The information written on it is lost forever as it has been smashed on purpose.
Items/TempleGlyphBlockDesc	A block made from hazy blue glass with golden etchings. It seems like these were used as memorials or to mark places of importance.
Items/TempleGlyphWall1	Angled Glyph Wall
Items/TempleGlyphWall1Desc	An ancient sandstone wall with an angled top and covered in indecipherable glyphs. What stories do they tell?
Items/TempleGlyphWall2	Glyph Wall
Items/TempleGlyphWall2Desc	An ancient sandstone wall covered in indecipherable glyphs. What stories do they tell?
Items/TempleGuardianStatue	Temple Guardian Statue
Items/TempleGuardianStatueDesc	This intimidating statue depicts an ancient guardian in exotic garment. Its kneeling pose hints at being in service of a king.
Items/TempleGuardianStatueRaided	Raided Temple Guardian Statue
Items/TempleGuardianStatueRaidedDesc	A statue wilfully destroyed by grave thiefs. It has been partially relieved of the green daggers in its stony clasp.
Items/TempleOmorothUrn	Omoroth Urn
Items/TempleOmorothUrnDesc	This decorative vase has been made in honor of Omoroth, the Sea Titan.
Items/TemplePedestal	Temple Pedestal
Items/TemplePedestalDesc	An ancient golden stand that seems to have held royal belongings once.
Items/TemplePillar	Temple Pillar
Items/TemplePillarDesc	A very beautiful, decorative pillar only found in ancient desert temples.
Items/TemplePitPillar	Temple Pit Pillar
Items/TemplePitPillarDesc	A load-bearing pillar which holds up the foundation of the ancient desert temples.
Items/TempleRaAkarUrn	Ra-Akar Urn
Items/TempleRaAkarUrnDesc	This decorative vase has been made in honor of Ra-Akar, the Sand Titan.
Items/TempleThrone	Temple Throne
Items/TempleThroneDesc	A golden throne reserved only for the buttocks of ancient royalty.
Items/TempleTurret	Stone Turret
Items/TempleTurretDesc	This ancient trap shoots projectiles at anyone walking into its line of sight. Its inner workings are concealed by a caveling grimace.
Items/TentacleJerky	Tentacle Jerky
Items/TentacleJerkyDesc	A dried piece of tentacle. It's quite tough and keeps your teeth busy.
Items/TentacleTrophy	Tentacle Figurine
Items/TentacleTrophyDesc	A lifelike representation of a Tentacle.
Items/TentacleWhip	Tentacle Whip
Items/TentacleWhipDesc	An elastic tentacle that lashes out at enemies from afar. It's still alive and wiggling in your hand.
Items/TerraTrilobite	Terra Trilobite
Items/TerraTrilobiteDesc	The mutated offspring of its extinct ancestor. Its brown shell had adapted to withstand extreme pressure.
Items/Terrarium	Terrarium
Items/TerrariumBeach	Beach Terrarium
Items/TerrariumBeachDesc	A humid enclosure with sandy terrain.
Items/TerrariumCrystal	Crystal Terrarium
Items/TerrariumCrystalDesc	A cool enclosure full of glistening crystals.
Items/TerrariumDesc	A simple enclosure for all kinds of crawling and fluttering critters.
Items/TerrariumDesert	Desert Terrarium
Items/TerrariumDesertDesc	A warm enclosure with dry, rocky terrain.
Items/TerrariumNature	Wilderness Terrarium
Items/TerrariumNatureDesc	A temperate enclosure full of bright budding flowers.
Items/TerrariumPassage	Passage Terrarium
Items/TerrariumPassageDesc	A cold enclosure for the creepiest of critters.
Items/ThinWallGlass	Thin Glass Wall
Items/ThinWallGlassDesc	A thin wall made from glass, perfect to create enclosures.
Items/ThornWood	Thorn Wood
Items/ThornWoodDesc	A brambly variant of the common root wood.
Items/ThrowingDaggers	Throwing Daggers
Items/ThrowingDaggersDesc	A set of curved blades. They're evenly balanced so that throwing them is as easy as pointing a finger.
Items/Thumper	Thumper
Items/ThumperDesc	A strange apparatus that sends shockwaves deep into the ground. Using it at the right spot may awaken something from its slumber. Is consumed on successful use.
Items/Thunder	A fine filament that has microscopic pieces of ancient gemstones woven into it. Its existence is proof of the absolute mastery over materials by whoever created it.
Items/TiltedGrave	Tilted Grave
Items/TiltedGraveDesc	An empty grave that has been moved out of its alignment in search for valuables.
Items/TimelessHourglass	Timeless Hourglass
Items/TimelessHourglassDesc	An intact hourglass, filled with blue sand. It is not clear what period of time it measures, as the sand seems to fall incredibly slowly.
Items/TinAnvil	Tin Anvil
Items/TinAnvilDesc	A better anvil for creating gear and weapons more suited for survival.
Items/TinAxe	Tin Axe
Items/TinAxeDesc	A slower but more damaging weapon against multiple enemies.
Items/TinBar	Tin Bar
Items/TinBarDesc	A tough metal ingot for blacksmithing.
Items/TinBreastArmor	Tin Breastplate
Items/TinBreastArmorDesc	A good armor to survive battles more easily.
Items/TinDagger	Tin Dagger
Items/TinDaggerDesc	A small blade that allows for quick stabs.
Items/TinFishingRod	Tin Fishing Rod
Items/TinFishingRodDesc	A durable tool for pulling up bigger fish.
Items/TinHelm	Tin Helm
Items/TinHelmDesc	This helm repels slight blows to the head.
Items/TinHoe	Tin Hoe
Items/TinHoeDesc	A durable tool to prepare ground for farming. Covers an area of up to 3x3 tiles.
Items/TinMiningPick	Tin Pickaxe
Items/TinMiningPickDesc	A durable tool, good for breaking down walls more easily.
Items/TinOre	Tin Ore
Items/TinOreBoulder	Tin Ore Boulder
Items/TinOreDesc	Commonly found in clay walls.
Items/TinPantsArmor	Tin Pants
Items/TinPantsArmorDesc	Some tin for the shin.
Items/TinShovel	Tin Shovel
Items/TinShovelDesc	A durable shovel, well-suited for digging up ground. Covers an area of up to 2x2 tiles.
Items/TinSledge	Tin Sledge Hammer
Items/TinSledgeDesc	A bulky weapon for smashing foes and walls.
Items/TinSword	Tin Sword
Items/TinSwordDesc	A sharp weapon for slaying foes.
Items/TinWorkbench	Tin Workbench
Items/TinWorkbenchDesc	A better workbench to prepare you for the underground world.
Items/TomeOfFire	Tome of Ashes
Items/TomeOfFireDesc	Reeks of sulfur and is hot to the touch.
Items/TomeOfMelee	Tome of the Dead
Items/TomeOfMeleeDesc	A vile treatise on the conjuring of restless spirits.
Items/TomeOfMining	Tome of Breach
Items/TomeOfMiningDesc	More of an unfinished journal detailing the author's obsession with unearthing secrets.
Items/TomeOfOrbit	Tome of the Deep
Items/TomeOfOrbitDesc	A tome that contains powerful incantions barely utterable by the human tongue.
Items/TomeOfPoison	Tome of Sprouts
Items/TomeOfPoisonDesc	A mystical tome germinating with verdant potential.
Items/TomeOfRadiation	Tome of Decay
Items/TomeOfRadiationDesc	Flipping through its pages causes your fingers to go numb.
Items/TomeOfRange	Tome of the Dark
Items/TomeOfRangeDesc	More of a pamphlet, beginners guide to shadowmancy.
Items/TopazRing	Topaz Ring
Items/TopazRingDesc	A precious little ring with a yellow gemstone on top.
Items/TorcNecklace	Torc Necklace
Items/TorcNecklaceDesc	A piece of jewelry for the neck that's merely a hoop with a gap. Worn by many different cultures throughout world history.
Items/Torch	Torch
Items/TorchDesc	It lights up your surroundings. Can also be placed on the ground and attached to walls.
Items/TorchPlural	Torches
Items/TornisKingfish	Tornis Kingfish
Items/TornisKingfishDesc	An extremely rare enigma of sea life that seems to unify all other fish beneath it.
Items/TowelBreastArmor	Towel
Items/TowelBreastArmorDesc	A towel is about the most massively useful thing an underground miner can have.
Items/TowerShellNecklace	Tower Shell Necklace
Items/TowerShellNecklaceDesc	A necklace featuring a coiling shell. Its ever turning spiral structure is captivating.
Items/TrenchcoatBreastArmor	Trenchcoat
Items/TrenchcoatBreastArmorDesc	A coat with deep pockets fit for a hoggish, dodgy fancier.
Items/TriangleTrinket	Triangle Trinket
